year,zip_code,age_group,number_of_visits,age_adjusted_rate,county_fips_code,county
2012,"90221
(33.89560019000049, -118.2056368589997)",Adults (18+),219,62.4,6037,LOS ANGELES
2012,"90222
(33.91203300100045, -118.23502647699968)",AllAges,295,86.4,6037,LOS ANGELES
2012,"90222
(33.91203300100045, -118.23502647699968)",Children (0-17),143,131.2,6037,LOS ANGELES
2012,"90222
(33.91203300100045, -118.23502647699968)",Adults (18+),152,70.8,6037,LOS ANGELES
2012,"90230
(33.99506171100046, -118.39500957899969)",AllAges,121,41.3,6037,LOS ANGELES
2012,"90230
(33.99506171100046, -118.39500957899969)",Children (0-17),53,79.7,6037,LOS ANGELES
2012,"90230
(33.99506171100046, -118.39500957899969)",Adults (18+),68,28,6037,LOS ANGELES
2012,"90232
(34.019702237000445, -118.39595678999967)",AllAges,52,34.9,6037,LOS ANGELES
2012,"90232
(34.019702237000445, -118.39595678999967)",Children (0-17),21,70,6037,LOS ANGELES
2012,"90232
(34.019702237000445, -118.39595678999967)",Adults (18+),31,22.8,6037,LOS ANGELES
2012,"90240
(33.95620432700048, -118.11982734499969)",AllAges,79,31.9,6037,LOS ANGELES
2012,"90240
(33.95620432700048, -118.11982734499969)",Children (0-17),31,50.6,6037,LOS ANGELES
2012,"90240
(33.95620432700048, -118.11982734499969)",Adults (18+),48,25.4,6037,LOS ANGELES
2012,"90241
(33.94049278700044, -118.13166748599969)",AllAges,197,46,6037,LOS ANGELES
2012,"90241
(33.94049278700044, -118.13166748599969)",Children (0-17),80,73.3,6037,LOS ANGELES
2012,"90241
(33.94049278700044, -118.13166748599969)",Adults (18+),117,36.5,6037,LOS ANGELES
2012,"90242
(33.92203085800048, -118.14007941599971)",AllAges,218,48.6,6037,LOS ANGELES
2012,"90242
(33.92203085800048, -118.14007941599971)",Children (0-17),92,74.7,6037,LOS ANGELES
2012,"90242
(33.92203085800048, -118.14007941599971)",Adults (18+),126,39.5,6037,LOS ANGELES
2012,"90245
(33.92015381600049, -118.40580691799971)",AllAges,37,26.1,6037,LOS ANGELES
2012,"90245
(33.92015381600049, -118.40580691799971)",Children (0-17),15,45,6037,LOS ANGELES
2012,"90245
(33.92015381600049, -118.40580691799971)",Adults (18+),22,19.6,6037,LOS ANGELES
2012,"90247
(33.89189390000047, -118.29849831699971)",AllAges,278,59.1,6037,LOS ANGELES
2012,"90247
(33.89189390000047, -118.29849831699971)",Children (0-17),134,116.1,6037,LOS ANGELES
2012,"90247
(33.89189390000047, -118.29849831699971)",Adults (18+),144,39.3,6037,LOS ANGELES
2012,"90248
(33.87544370900048, -118.28237834699968)",AllAges,47,54.4,6037,LOS ANGELES
2012,"90248
(33.87544370900048, -118.28237834699968)",Children (0-17),24,125.9,6037,LOS ANGELES
2012,"90248
(33.87544370900048, -118.28237834699968)",Adults (18+),23,29.5,6037,LOS ANGELES
